book_id,title,author,image-url,download-url,rating
0,Introduction to Theory of Computation,Michael Sipser,https://libgen.li/covers/1000/1d9fa59b0e4f522bf232c38e7fea4757.jpg,https://libgen.li/get.php?md5=1d9fa59b0e4f522bf232c38e7fea4757&key=73406RQREVRK8D5P,4.4
1,An Introduction to Formal Language and Automata,Peter Linz,https://libgen.li/editioncovers/138272000/138272227.jpg,https://libgen.li/get.php?md5=4fddf613a3a271749bfb68e98074b1a6&key=C8ULDRIMBRB1T0YI,3.9
2,"Automata, Computability, Complexity - Theory and Applications","Elliotte Koffman, Michael Sedgewick",https://cdn.pdfdrive.to/media/content/thumbnails/e6a0d44b-a41a-4d8f-b5aa-2438cf84ea08.webp,https://libgen.li/get.php?md5=9d3db4715fd4de9412ca9c3f9cb679f0&key=0NOZ1IX51BC1S0V5,3.8
3,"Introduction to Automata Theory, Languages and Computation","John Hopcroft, Jeffrey Ullman, Rajeev Motwani",https://libgen.li/covers/0/7270e9ab5f65291c3369280ec4b6eb3b.jpg,https://libgen.li/get.php?md5=7270e9ab5f65291c3369280ec4b6eb3b&key=0SYNPV7IE7ZA0ZC0,3.7
4,"Theory of Computer Science: Automata, Languages and Computation",KLP Mishra and N. Chandrasekaran,https://libgen.li/covers/2370000/a21c9336e36d9bcdb00b3031501c1f26.jpg,https://libgen.li/get.php?md5=a21c9336e36d9bcdb00b3031501c1f26&key=7NRZS9HKPDFTN0S1,3.4
5,C in a Nutshell,"Peter Prinz, Tony Crawford",https://cdn.zlibrary.to/media/content/thumbnails/e59a117c-3515-495c-95ef-1098b7368c6b.webp,https://libgen.li/get.php?md5=9627c95abd7e3f9f3d16a9253e48da78&key=N5M2XJPL8QNR7KXO,4.6
6,Let Us C,YashwantKanetkar,https://libgen.li/covers/4118000/418ee47257395b664ed4f2b241fb6679.jpg,https://libgen.li/get.php?md5=418ee47257395b664ed4f2b241fb6679&key=7XF7NR56KW6AADTS,4.1
7,Practical C programming,Steve Oualline,https://cdn-2.zlibrary.to/media/content/thumbnails/5871c7c3-1d93-48b1-9ecb-24228c643c21.webp,https://libgen.li/get.php?md5=3117b444e2918886b8ed0cc3cf85f6a8&key=KGFOLAQVF16BHQQY,4
8,The C Programming Language,"Brian W Kernighan, Dennis M Ritcie",https://libgen.li/editioncovers/135955000/135955590.jpg,https://libgen.li/get.php?md5=f8a5292fae4d4a5467a4805d13e8e0a6&key=MXAZ3WRNH0YX1D7A,3.2
9,Programming in ANSI C,E.Balagurusamy,https://cdn.zlibrary.to/media/content/thumbnails/89c25ff6-6876-4c12-a53d-d86a70e2e33e.webp,https://libgen.li/get.php?md5=177eacb192165f90062789304b5da281&key=KFDK46PVQ6XV400L,4.3
10,"Compilers-Principles,Techniques and Tools","Alfred VAho, RaviSethi, Jeffrey DUllman",https://libgen.li/covers/3974000/c377341626e10cb2c5e134e0f887cb38.jpg,https://libgen.li/get.php?md5=c377341626e10cb2c5e134e0f887cb38&key=7S5543A1OYLGJ59A,4.5
11,Crafting a Compiler with C,"Charles N. Fischer, Richard J. leBlanc, Jr",https://libgen.li/editioncovers/136532000/136532052.jpg,https://libgen.li/get.php?md5=818ed381e2c8347ddfa5b0956dde6216&key=BP9TA7PR9MTTL70K,4.01
12,Modern Compiler Implementation in C,Andrew W Apple,https://libgen.li/covers/272000/45cd9648ef88db9e77a77d3f5931e532.jpg,https://libgen.li/get.php?md5=45cd9648ef88db9e77a77d3f5931e532&key=TZAHLOBJFKGEG9UN,4.8
13,Compiler Construction Principles & Practice,Kenneth C Louden,https://libgen.li/editioncovers/137041000/137041260.jpg,https://libgen.li/get.php?md5=a933d330835790e774575668d0914c2b&key=E3HCPL1WGOMULH10,4.1
14,Compiler Design in C,Allen  I. Holub,https://libgen.li/editioncovers/136097000/136097727.jpg,https://libgen.li/get.php?md5=efe396fa10e39d105eb708caea7d661b&key=P6HRL59VAHNITIKJ,4.2
15,Modern Compiler Implementation in Java,Andrew W Apple,https://cdn.pdfdrive.com/assets/thumbs/a18/a18a3c7845b6a72c6c4dd42ddf842d45.jpg,https://libgen.li/get.php?md5=4787f2b85e719ee1d2796bb9ec7affdc&key=MOTYADH8TGFST4PH,3.4
16,Operating System Concepts,"Silberschatz, Abraham & Galvin, Peter Baer & Gagne, Greg",https://libgen.li/fictioncovers/5116000/7116557e1da7e06157473178ceab132a.jpg,https://libgen.li/get.php?md5=7116557e1da7e06157473178ceab132a&key=VVNRIXZKHTK26WH3,4.5
17,Operating systems: internals and design principles Edition: 6,William Stallings,https://libgen.li/editioncovers/136396000/136396932.jpg,https://libgen.li/get.php?md5=c8882928b7a77fe0456090e0abd81b94&key=JPYKMJZK84600OSK,4
18,UNIX Concepts and Applications Edition: 4th Edition,Sumitabha Das,https://libgen.li/editioncovers/138706000/138706257.jpg,https://libgen.li/get.php?md5=96df24a314f3508a661678ced308f201&key=GKCHIIJGC6FJGOWB,4.09
19,Operating Systems: Design and Implementation Edition: 2," Andrew S. Tanenbaum, Albert S. Woodhull",https://libgen.li/editioncovers/135778000/135778093.jpg,https://libgen.li/get.php?md5=fe68fd86c70a0594a4c1dfc3e886aef6&key=EJ5EZULPZVDTZC85,4.31
20,Operating System Concepts Edition: 8th," Abraham Silberschatz, Greg Gagne, Peter B. Galvin",https://libgen.li/editioncovers/136656000/136656717.jpg,https://libgen.li/get.php?md5=e448d6fdaa2f79a88576484db4fc6aa6&key=0YPQLCE0GML0ZQYG,4.4
21,Principles of operating systems ,Naresh Chauhan,https://libgen.li/editioncovers/137282000/137282349.jpg,https://libgen.li/get.php?md5=1e1cf547a1d12db1e9f1f196ad3bed03&key=W6HWS9P1CI4HNA79,4.5
22,Fundamentals of Database Systems ," Ramez Elmasri, Shamkant B. Navathe",https://libgen.li/covers/341000/7521ca88c687426d55868571d1c0d4d9.jpg,https://libgen.li/get.php?md5=7521ca88c687426d55868571d1c0d4d9&key=1AI8YTZPII8LNNWR,4.2
23,Database Concepts,"David M. Kroenke, David Auer",https://libgen.li/covers/1160000/e8f27903a26fa66b79e9085d0ff8f5b1.jpg,https://libgen.li/get.php?md5=e8f27903a26fa66b79e9085d0ff8f5b1&key=OO0WR51HRTFEYL7C,4.7
24,Database Management Systems,Raghu Ramakrishnan and Johannes Gehrke,https://libgen.li/editioncovers/136018000/136018750.jpg,https://libgen.li/get.php?md5=e60b59a176028e4c66e2c42265a06427&key=HZ5QUCOE3Q7UMI92,3.1
25,Database System Concepts,"Abraham Silberschatz, Henry F. Korth, S. Sudarshan",https://libgen.li/covers/608000/e5366285c8d8f931f81cf290a0a8611f.jpg,https://libgen.li/get.php?md5=e5366285c8d8f931f81cf290a0a8611f&key=KV6IUWB064DLG6JR,3.9
26,High-Performance MySQL,"Silvia Botros, Jeremy Tinley",https://libgen.li/covers/3106000/53b51a0319638dc690af236be8d634b8.jpg,https://libgen.li/get.php?md5=53b51a0319638dc690af236be8d634b8&key=7LIIHYEF3VQ32QCL,4.5
27,Seven Databases in Seven Weeks,"Eric Redmond, Jim R. Wilson",https://libgen.li/editioncovers/136632000/136632574.jpg,https://libgen.li/get.php?md5=cbf38937207fba3ac468254be7540df0&key=R2VWH43K3AP2HA7B,4.2
28,The Art of SQL,"Faroult, Stephane,Robson, Peter",https://libgen.li/covers/2862000/4e212348bb110240ed393c38002e92f1.jpg,https://libgen.li/get.php?md5=4e212348bb110240ed393c38002e92f1&key=RKK3COEABT59RF0U,4.7
29,Machine Learning For Dummies,"John Paul Mueller, Luca Massaron",https://libgen.li/editioncovers/137286000/137286665.jpg,https://libgen.li/get.php?md5=3106fc3e11b5babf818f7441430c2776&key=OU91HJT7L3MTHHK4,4.4
30,A Course in Machine Learning,Hal Daumé III,https://libgen.li/covers/5499000/28e46a02b38415a357711da1fdb8e30d.jpg,https://libgen.li/get.php?md5=28e46a02b38415a357711da1fdb8e30d&key=X97IGQYPY98MX47X,3.8
31,Programming Collective Intelligence: Building Smart Web 2.0 Applications,Toby Segaran,https://libgen.li/editioncovers/135836000/135836051.jpg,https://libgen.li/get.php?md5=6acbfe0d859d5dbb692469403584479e&key=AI02TJT3YSH5B9W4,3.9
32,Machine Learning in Action,Peter Harrington,https://libgen.li/editioncovers/136610000/136610875.jpg,https://libgen.li/get.php?md5=a6ec01770c8d19ca3dc815930474400e&key=SOD6NULYT7QT7JGE,4
33,Learning Scikit-Learn: Machine Learning in Python,Raúl Garreta and Guillermo Moncecchi,https://libgen.li/covers/3349000/811b5bae61719b37367cc3cec2f43f4d.jpg,https://libgen.li/get.php?md5=811b5bae61719b37367cc3cec2f43f4d&key=A3NK6B4DX9RRL1J5,4.1
34,Building Machine Learning Systems with Python, WilliRichert and Luis Pedro Coelho ,https://libgen.li/covers/1525000/0c0483eef0698795778a6b28d175a5ae.jpg,https://libgen.li/get.php?md5=0c0483eef0698795778a6b28d175a5ae&key=TPR00YBZLS2RVC5L,4.2
35,Discrete Mathematics and its Applications,Kenneth H. Rosen,https://libgen.li/editioncovers/135787000/135787648.jpg,https://libgen.li/get.php?md5=c8955fa7c45dec0c5c75d002227eb3e7&key=4MTYWW0YZ7TJLFJN,4.7
36, Discrete Mathematical Structures,"Bernard Kolman, Robert C. Busby, Sharon Cutler Ross",https://libgen.li/editioncovers/136173000/136173562.jpg,https://libgen.li/get.php?md5=4657ca63fef2a962a128c0284e4261bc&key=B47B0937KUSWUSI4,4.1
37,Discrete Mathematical Structures: A Succinct Foundation,B. V. Senthil Kumar; Hemen Dutta,https://libgen.li/covers/2534000/7e8b674af5c9f3f26e38f5c3bf09810a.jpg,https://libgen.li/get.php?md5=7e8b674af5c9f3f26e38f5c3bf09810a&key=EV4F01EOP13F8H7G,4.2
38,Discrete and combinatorial mathematics: an introduction,Ralph P. Grimaldi,https://libgen.li/editioncovers/135778000/135778393.jpg,https://libgen.li/get.php?md5=464849a0ca82a1d070ce0bb05bda0478&key=JLLNB6XWZ2UZN1T1,4.1
39,Fundamentals of Abstract Algebra,"D. S. Malik, John M. Mordeson, M. K. Sen",https://libgen.li/covers/1159000/bb2474af8fcc4fdff5f47e2632b8d5d7.jpg,https://libgen.li/get.php?md5=bb2474af8fcc4fdff5f47e2632b8d5d7&key=XPKXCKN2WICHWBYE,4.7
40,Schaum's Outline of Discrete Maths,"Seymor Lipschutz, Marc Lipson",https://libgen.li/editioncovers/135778000/135778401.jpg,https://libgen.li/get.php?md5=64e69ba98271b653112f8426d4ae9768&key=LRUA0MZJ4FKEZS3I,3.1
41,Java 2 The Complete Reference," Patrick Naughton, Herbert Schildt",https://libgen.li/covers/1488000/7d96db4d6a3134d02f46f095fa8ee9be.jpg,https://libgen.li/get.php?md5=7d96db4d6a3134d02f46f095fa8ee9be&key=04AS42Y7Z4F4JLF6,4.4
42,Thinking in Java, Eckel,https://libgen.li/covers/78000/88dfcd75e8387f67a201f93e7f1b7395.jpg,https://libgen.li/get.php?md5=88dfcd75e8387f67a201f93e7f1b7395&key=MFIK57THI56F6AS7,3.4
43,PROGRAMMING WITH JAVA A PRIMER,E. Balaguruswamy,https://libgen.li/covers/1104000/1a9dbdc972c4ca0a621e2576c7d45ba8.jpg,https://libgen.li/get.php?md5=1a9dbdc972c4ca0a621e2576c7d45ba8&key=4M19SOENOVW1GZJL,3.5
44,Programming With Java (Mastering Programming Languages Series),"Edet, Theophilus",https://libgen.li/covers/5468000/ea5e363ef98107cda4a23e47f0e3bc70.jpg,https://libgen.li/get.php?md5=ea5e363ef98107cda4a23e47f0e3bc70&key=806A3EJJR582W86S,3.5
45,Real-time Java programming with Java RTS,"Bruno, Eric J. Bollella, Gregory",https://libgen.li/covers/2863000/3da9eb08bf492117089adf4c187fb2e3.jpg,https://libgen.li/get.php?md5=3da9eb08bf492117089adf4c187fb2e3&key=G3MWEYELXF66BJUE,3
46,Learning Java: An Introduction to Programming with Java,"Thanh, Neos",https://libgen.li/covers/2813000/2913ae29a03a85bc162adbca2ab4e1a0.jpg,https://libgen.li/get.php?md5=2913ae29a03a85bc162adbca2ab4e1a0&key=1QDLYG3QWT8P7ZBC,3.4
47,C++: The Complete Reference,"Schildt, Herbert",https://libgen.li/covers/3360000/8f917b893d4c493bb9f8ce6b436e218d.jpg,https://libgen.li/get.php?md5=8f917b893d4c493bb9f8ce6b436e218d&key=KQ0G2A475RU1JA42,4.3
48,The Ultimate Guide to Master C Programming Fast,"Robert Hoffman, Burne Stroustrup",https://libgen.li/editioncovers/138122000/138122723.jpg,https://libgen.li/get.php?md5=e0269888c34353ba83ea9e5f573ca755&key=88X410B6A2BSUAN7,4
49,Beginning Programming with C++ For Dummies,Stephen R. Davis,https://libgen.li/editioncovers/136120000/136120253.jpg,https://libgen.li/get.php?md5=10241c9538edbe7d37efdbfdf5eee354&key=0FPDVJNJPH2FYA2S,4.3
50,Programming with C and Cpp (C++),Devendra Naga,https://libgen.li/covers/5306000/b71816a88a81ca351e63eae9070d363f.jpg,https://libgen.li/get.php?md5=b71816a88a81ca351e63eae9070d363f&key=HX1W4VROGRG7JDTX,4.25
51,C++ Programming,"Edet, Theophilus",https://libgen.li/covers/5458000/be2fec57c815765845785fb90c14b657.jpg,https://libgen.li/get.php?md5=be2fec57c815765845785fb90c14b657&key=EOK0P17UK2HC08WB,4.4
52, Introduction to Programming In C++ Language,"Khachane, Vishal",https://libgen.li/fictioncovers/4812000/e47514ea79958b2c82dc783fc99bf2f2.jpg,https://libgen.li/get.php?md5=e47514ea79958b2c82dc783fc99bf2f2&key=1Q80BKR9P6MTW5JE,4.2
53,Digital Principles And Applications,Donald P. Leach,https://libgen.li/covers/2215000/3e77e8851954b4c093e51c1a90d6aa53.jpg,https://libgen.li/get.php?md5=3e77e8851954b4c093e51c1a90d6aa53&key=HDGKGGW4GJE4QWPZ,4.4
